Inb.coef,Treatment,Fam.ID,Sperm_length,Trait
0.5,Inb.3,Fam.18,86,Sperm_Length
0.5,Inb.3,Fam.19,80,Sperm_Length
0.5,Inb.3,Fam.20,79,Sperm_Length
0.5,Inb.3,Fam.21,83,Sperm_Length
0.5,Inb.3,Fam.22,84,Sperm_Length
0.5,Inb.3,Fam.23,86,Sperm_Length
0.5,Inb.3,Fam.24,82,Sperm_Length
0.5,Inb.3,Fam.27,85,Sperm_Length
0.5,Inb.3,Fam.31,82,Sperm_Length
0.5,Inb.3,Fam.32,82,Sperm_Length
0.5,Inb.3,Fam.33,82,Sperm_Length
0.5,Inb.3,Fam.34,83,Sperm_Length
0.5,Inb.3,Fam.35,83,Sperm_Length
0.5,Inb.3,Fam.38,82,Sperm_Length
0.5,Inb.3,Fam.39,84,Sperm_Length
0.5,Inb.3,Fam.40,85,Sperm_Length
0.5,Inb.3,Fam.42,84,Sperm_Length
0.5,Inb.3,Fam.43,82,Sperm_Length
0.5,Inb.3,Fam.44,84,Sperm_Length
0.5,Inb.3,Fam.45,84,Sperm_Length
0.59,Inb.4,Fam.1,77,Sperm_Length
0.59,Inb.4,Fam.2,75,Sperm_Length
0.59,Inb.4,Fam.5,81,Sperm_Length
0.59,Inb.4,Fam.6,78,Sperm_Length
0.59,Inb.4,Fam.7,76,Sperm_Length
0.59,Inb.4,Fam.8,76,Sperm_Length
0.59,Inb.4,Fam.9,79,Sperm_Length
0.59,Inb.4,Fam.11,82,Sperm_Length
0.59,Inb.4,Fam.12,78,Sperm_Length
0.59,Inb.4,Fam.13,81,Sperm_Length
0.59,Inb.4,Fam.14,80,Sperm_Length
0.59,Inb.4,Fam.16,87,Sperm_Length
0.59,Inb.4,Fam.17,82,Sperm_Length
0.59,Inb.4,Fam.18,84,Sperm_Length
0.59,Inb.4,Fam.19,80,Sperm_Length
0.59,Inb.4,Fam.20,82,Sperm_Length
0.59,Inb.4,Fam.21,79,Sperm_Length
0.59,Inb.4,Fam.22,82,Sperm_Length
0.59,Inb.4,Fam.23,83,Sperm_Length
0.59,Inb.4,Fam.24,78,Sperm_Length
0.59,Inb.4,Fam.27,83,Sperm_Length
0.59,Inb.4,Fam.31,85,Sperm_Length
0.59,Inb.4,Fam.32,81,Sperm_Length
0.59,Inb.4,Fam.33,80,Sperm_Length
0.59,Inb.4,Fam.34,86,Sperm_Length
0.59,Inb.4,Fam.35,80,Sperm_Length
0.59,Inb.4,Fam.38,80,Sperm_Length
0.59,Inb.4,Fam.39,87,Sperm_Length
0.59,Inb.4,Fam.40,75,Sperm_Length
0.59,Inb.4,Fam.42,82,Sperm_Length
0.59,Inb.4,Fam.43,80,Sperm_Length
0.59,Inb.4,Fam.44,78,Sperm_Length
0.59,Inb.4,Fam.45,81,Sperm_Length
0.67,Inb.5,Fam.1,78,Sperm_Length
0.67,Inb.5,Fam.2,79,Sperm_Length
0.67,Inb.5,Fam.5,79,Sperm_Length
0.67,Inb.5,Fam.6,78,Sperm_Length
0.67,Inb.5,Fam.7,77,Sperm_Length
0.67,Inb.5,Fam.8,73,Sperm_Length
0.67,Inb.5,Fam.9,78,Sperm_Length
0.67,Inb.5,Fam.11,78,Sperm_Length
0.67,Inb.5,Fam.12,78,Sperm_Length
0.67,Inb.5,Fam.13,78,Sperm_Length
0.67,Inb.5,Fam.14,77,Sperm_Length
0.67,Inb.5,Fam.16,84,Sperm_Length
0.67,Inb.5,Fam.17,78,Sperm_Length
0.67,Inb.5,Fam.18,84,Sperm_Length
0.67,Inb.5,Fam.19,79,Sperm_Length
0.67,Inb.5,Fam.20,82,Sperm_Length
0.67,Inb.5,Fam.21,79,Sperm_Length
0.67,Inb.5,Fam.22,79,Sperm_Length
0.67,Inb.5,Fam.23,81,Sperm_Length
0.67,Inb.5,Fam.24,77,Sperm_Length
0.67,Inb.5,Fam.27,82,Sperm_Length
0.67,Inb.5,Fam.31,83,Sperm_Length
0.67,Inb.5,Fam.32,78,Sperm_Length
0.67,Inb.5,Fam.33,85,Sperm_Length
0.67,Inb.5,Fam.34,78,Sperm_Length
0.67,Inb.5,Fam.35,78,Sperm_Length
0.67,Inb.5,Fam.38,82,Sperm_Length
0.67,Inb.5,Fam.39,85,Sperm_Length
0.67,Inb.5,Fam.40,74,Sperm_Length
0.67,Inb.5,Fam.42,82,Sperm_Length
0.67,Inb.5,Fam.43,78,Sperm_Length
0.67,Inb.5,Fam.44,78,Sperm_Length
0.67,Inb.5,Fam.45,81,Sperm_Length
0.73,Inb.6,Fam.1,81,Sperm_Length
0.73,Inb.6,Fam.2,80,Sperm_Length
0.73,Inb.6,Fam.5,75,Sperm_Length
0.73,Inb.6,Fam.6,75,Sperm_Length
0.73,Inb.6,Fam.7,78,Sperm_Length
0.73,Inb.6,Fam.8,77,Sperm_Length
0.73,Inb.6,Fam.9,74,Sperm_Length
0.73,Inb.6,Fam.11,80,Sperm_Length
0.73,Inb.6,Fam.12,78,Sperm_Length
0.73,Inb.6,Fam.13,75,Sperm_Length
0.73,Inb.6,Fam.14,77,Sperm_Length
0.73,Inb.6,Fam.16,82,Sperm_Length
0.73,Inb.6,Fam.17,75,Sperm_Length
0.73,Inb.6,Fam.18,80,Sperm_Length
0.73,Inb.6,Fam.19,72,Sperm_Length
0.73,Inb.6,Fam.20,82,Sperm_Length
0.73,Inb.6,Fam.21,78,Sperm_Length
0.73,Inb.6,Fam.22,78,Sperm_Length
0.73,Inb.6,Fam.23,74,Sperm_Length
0.73,Inb.6,Fam.24,75,Sperm_Length
