Corr_Gen,Fam.ID,TV1_mm,TV2_mm,TV1,TV2
F3_F4,Fam.45,0.312,0.42,312,420
F4_F5,Fam.1,0.408,0.348,408,348
F4_F5,Fam.4,0.324,0.36,324,360
F4_F5,Fam.5,0.372,0.372,372,372
F4_F5,Fam.6,0.324,0.216,324,216
F4_F5,Fam.7,0.108,0.288,108,288
F4_F5,Fam.8,0.384,0.336,384,336
F4_F5,Fam.9,0.384,0.324,384,324
F4_F5,Fam.11,0.144,0.276,144,276
F4_F5,Fam.12,0.252,0.24,252,240
F4_F5,Fam.13,0.24,0.3,240,300
F4_F5,Fam.14,0.3,0.384,300,384
F4_F5,Fam.16,0.432,0.144,432,144
F4_F5,Fam.17,0.36,0.336,360,336
F4_F5,Fam.18,0.372,0.372,372,372
F4_F5,Fam.19,0.324,0.264,324,264
F4_F5,Fam.20,0.432,0.24,432,240
F4_F5,Fam.21,0.42,0.456,420,456
F4_F5,Fam.22,0.276,0.348,276,348
F4_F5,Fam.23,0.348,0.324,348,324
F4_F5,Fam.24,0.42,0.348,420,348
F4_F5,Fam.29,0.372,0.396,372,396
F4_F5,Fam.31,0.42,0.384,420,384
F4_F5,Fam.32,0.42,0.324,420,324
F4_F5,Fam.33,0.336,0.228,336,228
F4_F5,Fam.34,0.252,0.204,252,204
F4_F5,Fam.35,0.336,0.348,336,348
F4_F5,Fam.38,0.336,0.192,336,192
F4_F5,Fam.39,0.312,0.228,312,228
F4_F5,Fam.40,0.276,0.24,276,240
F4_F5,Fam.42,0.36,0.324,360,324
F4_F5,Fam.43,0.312,0.324,312,324
F4_F5,Fam.44,0.372,0.312,372,312
F4_F5,Fam.45,0.42,0.312,420,312
F5_F6,Fam.1,0.348,0.156,348,156
F5_F6,Fam.4,0.36,0.192,360,192
F5_F6,Fam.5,0.372,0.288,372,288
F5_F6,Fam.6,0.216,0.084,216,84
F5_F6,Fam.7,0.288,0.168,288,168
F5_F6,Fam.8,0.336,0.108,336,108
F5_F6,Fam.9,0.324,0.252,324,252
F5_F6,Fam.11,0.276,0.228,276,228
F5_F6,Fam.12,0.24,0.252,240,252
F5_F6,Fam.13,0.3,0.084,300,84
F5_F6,Fam.14,0.384,0.252,384,252
F5_F6,Fam.16,0.144,0.132,144,132
F5_F6,Fam.17,0.336,0.132,336,132
F5_F6,Fam.18,0.372,0.216,372,216
F5_F6,Fam.19,0.264,0.132,264,132
F5_F6,Fam.20,0.24,0.144,240,144
F5_F6,Fam.21,0.456,0.192,456,192
F5_F6,Fam.22,0.348,0.168,348,168
F5_F6,Fam.23,0.324,0.216,324,216
F5_F6,Fam.24,0.348,0.324,348,324
F5_F6,Fam.29,0.396,0.156,396,156
F5_F6,Fam.31,0.384,0.144,384,144
F5_F6,Fam.32,0.324,0.228,324,228
F5_F6,Fam.33,0.228,0.144,228,144
F5_F6,Fam.34,0.204,0.204,204,204
F5_F6,Fam.35,0.348,0.156,348,156
F5_F6,Fam.38,0.192,0.156,192,156
F5_F6,Fam.39,0.228,0.132,228,132
F5_F6,Fam.40,0.24,0.12,240,120
F5_F6,Fam.42,0.324,0.168,324,168
F5_F6,Fam.43,0.324,0.264,324,264
F5_F6,Fam.44,0.312,0.18,312,180
F5_F6,Fam.45,0.312,0.228,312,228
