Corr_Gen,Fam.ID,EL1_mm,EL2_mm,EL1,EL2,ID
F2_F3,Fam.42,2.505,2.537,2505,2537,Male
F2_F3,Fam.43,2.396,2.441,2396,2441,Male
F2_F3,Fam.44,2.378,2.222,2378,2222,Male
F2_F3,Fam.45,2.533,2.361,2533,2361,Male
F3_F4,Fam.1,2.431,2.375,2431,2375,Male
F3_F4,Fam.4,2.399,2.371,2399,2371,Male
F3_F4,Fam.5,2.255,2.285,2255,2285,Male
F3_F4,Fam.6,2.557,2.416,2557,2416,Male
F3_F4,Fam.7,2.292,2.362,2292,2362,Male
F3_F4,Fam.8,2.38,2.338,2380,2338,Male
F3_F4,Fam.9,2.469,2.462,2469,2462,Male
F3_F4,Fam.11,2.497,2.494,2497,2494,Male
F3_F4,Fam.12,2.442,2.397,2442,2397,Male
F3_F4,Fam.13,2.408,2.344,2408,2344,Male
F3_F4,Fam.14,2.39,2.39,2390,2390,Male
F3_F4,Fam.16,2.354,2.275,2354,2275,Male
F3_F4,Fam.17,2.452,2.477,2452,2477,Male
F3_F4,Fam.18,2.515,2.411,2515,2411,Male
F3_F4,Fam.19,2.541,2.537,2541,2537,Male
F3_F4,Fam.20,2.371,2.395,2371,2395,Male
F3_F4,Fam.21,2.372,2.367,2372,2367,Male
F3_F4,Fam.22,2.345,2.299,2345,2299,Male
F3_F4,Fam.23,2.354,2.345,2354,2345,Male
F3_F4,Fam.24,2.311,2.203,2311,2203,Male
F3_F4,Fam.27,2.476,2.509,2476,2509,Male
F3_F4,Fam.31,2.326,2.433,2326,2433,Male
F3_F4,Fam.32,2.458,2.521,2458,2521,Male
F3_F4,Fam.33,2.145,2.35,2145,2350,Male
F3_F4,Fam.34,2.3,2.253,2300,2253,Male
F3_F4,Fam.35,2.366,2.359,2366,2359,Male
F3_F4,Fam.38,2.413,2.315,2413,2315,Male
F3_F4,Fam.39,2.244,2.269,2244,2269,Male
F3_F4,Fam.40,2.409,2.402,2409,2402,Male
F3_F4,Fam.42,2.537,2.388,2537,2388,Male
F3_F4,Fam.43,2.441,2.404,2441,2404,Male
F3_F4,Fam.44,2.222,2.41,2222,2410,Male
F3_F4,Fam.45,2.361,2.417,2361,2417,Male
F4_F5,Fam.1,2.375,2.341,2375,2341,Male
F4_F5,Fam.4,2.371,2.309,2371,2309,Male
F4_F5,Fam.5,2.285,2.403,2285,2403,Male
F4_F5,Fam.6,2.416,2.527,2416,2527,Male
F4_F5,Fam.7,2.362,2.366,2362,2366,Male
F4_F5,Fam.8,2.338,2.409,2338,2409,Male
F4_F5,Fam.9,2.462,2.487,2462,2487,Male
F4_F5,Fam.11,2.494,2.332,2494,2332,Male
F4_F5,Fam.12,2.397,2.344,2397,2344,Male
F4_F5,Fam.13,2.344,2.352,2344,2352,Male
F4_F5,Fam.14,2.39,2.464,2390,2464,Male
F4_F5,Fam.16,2.275,2.32,2275,2320,Male
F4_F5,Fam.17,2.477,2.401,2477,2401,Male
F4_F5,Fam.18,2.411,2.415,2411,2415,Male
F4_F5,Fam.19,2.537,2.407,2537,2407,Male
F4_F5,Fam.20,2.395,2.358,2395,2358,Male
F4_F5,Fam.21,2.367,2.369,2367,2369,Male
F4_F5,Fam.22,2.299,2.412,2299,2412,Male
F4_F5,Fam.23,2.345,2.31,2345,2310,Male
F4_F5,Fam.24,2.203,2.221,2203,2221,Male
F4_F5,Fam.27,2.509,2.458,2509,2458,Male
F4_F5,Fam.31,2.433,2.404,2433,2404,Male
F4_F5,Fam.32,2.521,2.635,2521,2635,Male
F4_F5,Fam.33,2.35,2.439,2350,2439,Male
F4_F5,Fam.34,2.253,2.188,2253,2188,Male
F4_F5,Fam.35,2.359,2.195,2359,2195,Male
F4_F5,Fam.38,2.315,2.272,2315,2272,Male
F4_F5,Fam.39,2.269,2.275,2269,2275,Male
F4_F5,Fam.40,2.402,2.537,2402,2537,Male
F4_F5,Fam.42,2.388,2.496,2388,2496,Male
F4_F5,Fam.43,2.404,2.451,2404,2451,Male
F4_F5,Fam.44,2.41,2.356,2410,2356,Male
F4_F5,Fam.45,2.417,2.448,2417,2448,Male
F5_F6,Fam.1,2.341,2.306,2341,2306,Male
F5_F6,Fam.4,2.309,2.353,2309,2353,Male
F5_F6,Fam.5,2.403,2.312,2403,2312,Male
F5_F6,Fam.6,2.527,2.573,2527,2573,Male
F5_F6,Fam.7,2.366,2.386,2366,2386,Male
F5_F6,Fam.8,2.409,2.389,2409,2389,Male
F5_F6,Fam.9,2.487,2.381,2487,2381,Male
F5_F6,Fam.11,2.332,2.347,2332,2347,Male
F5_F6,Fam.12,2.344,2.252,2344,2252,Male
F5_F6,Fam.13,2.352,2.23,2352,2230,Male
F5_F6,Fam.14,2.464,2.399,2464,2399,Male
F5_F6,Fam.16,2.32,2.407,2320,2407,Male
F5_F6,Fam.17,2.401,2.303,2401,2303,Male
F5_F6,Fam.18,2.415,2.469,2415,2469,Male
F5_F6,Fam.19,2.407,2.489,2407,2489,Male
F5_F6,Fam.20,2.358,2.441,2358,2441,Male
F5_F6,Fam.21,2.369,2.254,2369,2254,Male
F5_F6,Fam.22,2.412,2.355,2412,2355,Male
F5_F6,Fam.23,2.31,2.36,2310,2360,Male
F5_F6,Fam.24,2.221,2.304,2221,2304,Male
F5_F6,Fam.27,2.458,2.461,2458,2461,Male
F5_F6,Fam.31,2.404,2.278,2404,2278,Male
F5_F6,Fam.32,2.635,2.427,2635,2427,Male
F5_F6,Fam.33,2.439,2.392,2439,2392,Male
F5_F6,Fam.34,2.188,2.235,2188,2235,Male
F5_F6,Fam.35,2.195,2.342,2195,2342,Male
F5_F6,Fam.38,2.272,2.36,2272,2360,Male
F5_F6,Fam.39,2.275,2.336,2275,2336,Male
F5_F6,Fam.40,2.537,2.566,2537,2566,Male
F5_F6,Fam.42,2.496,2.406,2496,2406,Male
F5_F6,Fam.43,2.451,2.513,2451,2513,Male
F5_F6,Fam.44,2.356,2.311,2356,2311,Male
F5_F6,Fam.45,2.448,2.285,2448,2285,Male
