Sex,Fam.ID,Rep.ID,Lifespan,Status,Gen,,
Male,1,A,63,1,Inb.2,,
Male,1,B,71,1,Inb.2,,
Male,2,A,51,1,Inb.2,,
Male,2,B,95,1,Inb.2,,
Male,3,A,55,1,Inb.2,,
Male,3,B,75,1,Inb.2,,
Male,4,A,31,1,Inb.2,,
Male,4,B,39,1,Inb.2,,
Male,5,A,35,1,Inb.2,,
Male,5,B,59,1,Inb.2,,
Male,6,A,55,1,Inb.2,,
Male,6,B,63,1,Inb.2,,
Male,7,A,51,1,Inb.2,,
Male,7,B,55,1,Inb.2,,
Male,8,A,71,1,Inb.2,,
Male,8,B,71,1,Inb.2,,
Male,9,A,51,1,Inb.2,,
Male,9,B,75,1,Inb.2,,
Male,10,A,71,1,Inb.2,,
Male,10,B,59,1,Inb.2,,
Male,11,A,67,1,Inb.2,,
Male,11,B,67,1,Inb.2,,
Male,12,A,47,1,Inb.2,,
Male,12,B,55,1,Inb.2,,
Male,13,A,55,1,Inb.2,,
Male,13,B,71,1,Inb.2,,
Male,14,A,47,1,Inb.2,,
Male,14,B,35,1,Inb.2,,
Male,15,A,47,1,Inb.2,,
Male,15,B,79,1,Inb.2,,
Male,16,A,83,1,Inb.2,,
Male,16,B,31,1,Inb.2,,
Male,17,A,47,1,Inb.2,,
Male,17,B,59,1,Inb.2,,
Male,18,A,63,1,Inb.2,,
Male,18,B,67,1,Inb.2,,
Male,19,A,43,1,Inb.2,,
Male,19,B,43,1,Inb.2,,
Male,20,A,71,1,Inb.2,,
Male,20,B,75,1,Inb.2,,
Male,21,A,7,1,Inb.2,,
Male,21,B,67,1,Inb.2,,
Male,22,A,67,1,Inb.2,,
Male,22,B,83,1,Inb.2,,
Male,23,A,35,1,Inb.2,,
Male,23,B,99,1,Inb.2,,
Male,24,A,55,1,Inb.2,,
Male,24,B,59,1,Inb.2,,
Male,25,A,63,1,Inb.2,,
Male,25,B,91,1,Inb.2,,
Male,26,A,51,1,Inb.2,,
Male,26,B,59,1,Inb.2,,
Male,27,A,51,1,Inb.2,,
Male,27,B,71,1,Inb.2,,
Male,28,A,55,1,Inb.2,,
Male,28,B,63,1,Inb.2,,
Male,29,A,47,1,Inb.2,,
Male,29,B,63,1,Inb.2,,
Male,31,A,35,1,Inb.2,,
Male,31,B,75,1,Inb.2,,
Male,32,A,19,1,Inb.2,,
Male,32,B,87,1,Inb.2,,
Male,33,A,59,1,Inb.2,,
Male,33,B,63,1,Inb.2,,
Male,34,A,39,1,Inb.2,,
Male,34,B,51,1,Inb.2,,
Male,35,A,67,1,Inb.2,,
Male,35,B,71,1,Inb.2,,
Male,36,A,55,1,Inb.2,,
Male,36,B,59,1,Inb.2,,
Male,37,A,43,1,Inb.2,,
Male,37,B,63,1,Inb.2,,
Male,38,A,35,1,Inb.2,,
Male,38,B,67,1,Inb.2,,
Male,39,A,83,1,Inb.2,,
Male,39,B,83,1,Inb.2,,
Male,40,A,75,1,Inb.2,,
Male,40,B,91,1,Inb.2,,
Male,41,A,55,1,Inb.2,,
Male,41,B,71,1,Inb.2,,
Male,42,A,67,1,Inb.2,,
Male,42,B,83,1,Inb.2,,
Male,43,A,83,1,Inb.2,,
Male,43,B,71,1,Inb.2,,
Male,44,A,83,1,Inb.2,,
Male,44,B,87,1,Inb.2,,
Male,45,A,83,1,Inb.2,,
Male,45,B,95,1,Inb.2,,
Male,1,A,21,1,Inb.3,,
Male,1,B,65,1,Inb.3,,
Male,2,A,29,1,Inb.3,,
Male,2,B,98,1,Inb.3,,
Male,3,A,65,1,Inb.3,,
Male,3,B,53,1,Inb.3,,
Male,4,A,25,1,Inb.3,,
Male,4,B,1,1,Inb.3,,
Male,5,A,61,1,Inb.3,,
Male,5,B,61,1,Inb.3,,
Male,6,A,41,1,Inb.3,,
Male,6,B,1,1,Inb.3,,
Male,7,A,29,1,Inb.3,,
Male,7,B,33,1,Inb.3,,
Male,8,A,33,1,Inb.3,,
Male,8,B,53,1,Inb.3,,
Male,9,A,65,1,Inb.3,,
Male,9,B,73,1,Inb.3,,
Male,10,A,45,1,Inb.3,,
Male,10,B,53,1,Inb.3,,
Male,11,A,37,1,Inb.3,,
Male,11,B,49,1,Inb.3,,
