Inb.coef,Family,ID,Elytra,Sex
0.67,44,Inb.5,2356,male
0.67,45,Inb.5,2448,male
0.73,1,Inb.6,2306,male
0.73,2,Inb.6,2353,male
0.73,5,Inb.6,2312,male
0.73,6,Inb.6,2573,male
0.73,7,Inb.6,2386,male
0.73,8,Inb.6,2389,male
0.73,9,Inb.6,2381,male
0.73,11,Inb.6,2347,male
0.73,12,Inb.6,2252,male
0.73,13,Inb.6,2230,male
0.73,14,Inb.6,2399,male
0.73,16,Inb.6,2407,male
0.73,17,Inb.6,2303,male
0.73,18,Inb.6,2469,male
0.73,19,Inb.6,2489,male
0.73,20,Inb.6,2441,male
0.73,21,Inb.6,2254,male
0.73,22,Inb.6,2355,male
0.73,23,Inb.6,2360,male
0.73,24,Inb.6,2304,male
0.73,27,Inb.6,2461,male
0.73,31,Inb.6,2278,male
0.73,32,Inb.6,2427,male
0.73,33,Inb.6,2392,male
0.73,34,Inb.6,2235,male
0.73,35,Inb.6,2342,male
0.73,38,Inb.6,2360,male
0.73,39,Inb.6,2336,male
0.73,40,Inb.6,2566,male
0.73,42,Inb.6,2406,male
0.73,43,Inb.6,2513,male
0.73,44,Inb.6,2311,male
0.73,45,Inb.6,2285,male
0,1,G0,2560,Female
0,2,G0,2430,Female
0,5,G0,2530,Female
0,6,G0,2610,Female
0,7,G0,2580,Female
0,8,G0,2480,Female
0,9,G0,2560,Female
0,11,G0,2590,Female
0,12,G0,2450,Female
0,13,G0,2520,Female
0,14,G0,2550,Female
0,16,G0,2560,Female
0,17,G0,2700,Female
0,18,G0,2540,Female
0,19,G0,2560,Female
0,20,G0,2520,Female
0,21,G0,2500,Female
0,22,G0,2500,Female
0,23,G0,2500,Female
0,24,G0,2450,Female
0,27,G0,2670,Female
0,31,G0,2630,Female
0,32,G0,2700,Female
0,33,G0,2580,Female
0,34,G0,2360,Female
0,35,G0,2540,Female
0,38,G0,2660,Female
0,39,G0,2570,Female
0,40,G0,2580,Female
0,42,G0,2570,Female
0,43,G0,2400,Female
0,44,G0,2530,Female
0,45,G0,2640,Female
0.25,1,Inb.1,2400,Female
0.25,2,Inb.1,2390,Female
0.25,5,Inb.1,2580,Female
0.25,6,Inb.1,2550,Female
0.25,7,Inb.1,2410,Female
0.25,8,Inb.1,2450,Female
0.25,9,Inb.1,2610,Female
0.25,11,Inb.1,2460,Female
0.25,12,Inb.1,2430,Female
0.25,13,Inb.1,2500,Female
0.25,14,Inb.1,2600,Female
0.25,16,Inb.1,2550,Female
0.25,17,Inb.1,2470,Female
0.25,18,Inb.1,2560,Female
0.25,19,Inb.1,2770,Female
0.25,20,Inb.1,2510,Female
0.25,21,Inb.1,2570,Female
0.25,22,Inb.1,2510,Female
0.25,23,Inb.1,2460,Female
0.25,24,Inb.1,2400,Female
0.25,27,Inb.1,2600,Female
0.25,31,Inb.1,2460,Female
0.25,32,Inb.1,2580,Female
0.25,33,Inb.1,2550,Female
0.25,34,Inb.1,2550,Female
0.25,35,Inb.1,2490,Female
0.25,38,Inb.1,2470,Female
0.25,39,Inb.1,2680,Female
0.25,40,Inb.1,2550,Female
0.25,42,Inb.1,2460,Female
0.25,43,Inb.1,2520,Female
0.25,44,Inb.1,2600,Female
0.25,45,Inb.1,2640,Female
0.37,1,Inb.2,2420,Female
0.37,2,Inb.2,2430,Female
0.37,5,Inb.2,2490,Female
0.37,6,Inb.2,2740,Female
0.37,7,Inb.2,2440,Female
0.37,8,Inb.2,2450,Female
0.37,9,Inb.2,2600,Female
0.37,11,Inb.2,2510,Female
0.37,12,Inb.2,2510,Female
0.37,13,Inb.2,2560,Female
0.37,14,Inb.2,2670,Female
0.37,16,Inb.2,2400,Female
0.37,17,Inb.2,2600,Female
0.37,18,Inb.2,2650,Female
0.37,19,Inb.2,2620,Female
0.37,20,Inb.2,2600,Female
0.37,21,Inb.2,2600,Female
0.37,22,Inb.2,2440,Female
0.37,23,Inb.2,2470,Female
0.37,24,Inb.2,2430,Female
0.37,27,Inb.2,2550,Female
0.37,31,Inb.2,2460,Female
0.37,32,Inb.2,2660,Female
0.37,33,Inb.2,2560,Female
0.37,34,Inb.2,2470,Female
0.37,35,Inb.2,2460,Female
0.37,38,Inb.2,2620,Female
0.37,39,Inb.2,2510,Female
0.37,40,Inb.2,2640,Female
0.37,42,Inb.2,2530,Female
0.37,43,Inb.2,2380,Female
0.37,44,Inb.2,2580,Female
0.37,45,Inb.2,2520,Female
0.50,1,Inb.3,2200,Female
0.50,2,Inb.3,2480,Female
0.50,5,Inb.3,2520,Female
0.50,6,Inb.3,2690,Female
0.50,7,Inb.3,2470,Female
0.50,8,Inb.3,2520,Female
0.50,9,Inb.3,2460,Female
0.50,11,Inb.3,2460,Female
0.50,12,Inb.3,2510,Female
0.50,13,Inb.3,2410,Female
0.50,14,Inb.3,2590,Female
0.50,16,Inb.3,2460,Female
0.50,17,Inb.3,2450,Female
0.50,18,Inb.3,2610,Female
0.50,19,Inb.3,2690,Female
0.50,20,Inb.3,2510,Female
0.50,21,Inb.3,2600,Female
0.50,22,Inb.3,2630,Female
0.50,23,Inb.3,2470,Female
0.50,24,Inb.3,2400,Female
0.50,27,Inb.3,2630,Female
0.50,31,Inb.3,2600,Female
0.50,32,Inb.3,2590,Female
0.50,33,Inb.3,2510,Female
0.50,34,Inb.3,2530,Female
0.50,35,Inb.3,2510,Female
0.50,38,Inb.3,2480,Female
0.50,39,Inb.3,2460,Female
0.50,40,Inb.3,2660,Female
0.50,42,Inb.3,2540,Female
0.50,43,Inb.3,2730,Female
0.50,44,Inb.3,2570,Female
0.50,45,Inb.3,2610,Female
0.59,1,Inb.4,2590,Female
0.59,2,Inb.4,2470,Female
0.59,5,Inb.4,2440,Female
