Corr_Gen,Fam.ID,EL1_mm,EL2_mm,EL1,EL2,ID
F3_F4,Fam.13,2.41,2.5,2410,2500,Female
F3_F4,Fam.14,2.59,2.53,2590,2530,Female
F3_F4,Fam.16,2.46,2.59,2460,2590,Female
F3_F4,Fam.17,2.45,2.52,2450,2520,Female
F3_F4,Fam.18,2.61,2.54,2610,2540,Female
F3_F4,Fam.19,2.69,2.61,2690,2610,Female
F3_F4,Fam.20,2.51,2.43,2510,2430,Female
F3_F4,Fam.21,2.6,2.48,2600,2480,Female
F3_F4,Fam.22,2.63,2.55,2630,2550,Female
F3_F4,Fam.23,2.47,2.51,2470,2510,Female
F3_F4,Fam.24,2.4,2.29,2400,2290,Female
F3_F4,Fam.27,2.63,2.61,2630,2610,Female
F3_F4,Fam.31,2.6,2.44,2600,2440,Female
F3_F4,Fam.32,2.59,2.71,2590,2710,Female
F3_F4,Fam.33,2.51,2.64,2510,2640,Female
F3_F4,Fam.34,2.53,2.48,2530,2480,Female
F3_F4,Fam.35,2.51,2.45,2510,2450,Female
F3_F4,Fam.38,2.48,2.48,2480,2480,Female
F3_F4,Fam.39,2.46,2.42,2460,2420,Female
F3_F4,Fam.40,2.66,2.69,2660,2690,Female
F3_F4,Fam.42,2.54,2.49,2540,2490,Female
F3_F4,Fam.43,2.73,2.61,2730,2610,Female
F3_F4,Fam.44,2.57,2.3,2570,2300,Female
F3_F4,Fam.45,2.61,2.62,2610,2620,Female
F4_F5,Fam.1,2.59,2.6,2590,2600,Female
F4_F5,Fam.4,2.47,2.43,2470,2430,Female
F4_F5,Fam.5,2.44,2.5,2440,2500,Female
F4_F5,Fam.6,2.68,2.67,2680,2670,Female
F4_F5,Fam.7,2.25,2.49,2250,2490,Female
F4_F5,Fam.8,2.42,2.48,2420,2480,Female
F4_F5,Fam.9,2.61,2.68,2610,2680,Female
F4_F5,Fam.11,2.55,2.52,2550,2520,Female
F4_F5,Fam.12,2.33,2.56,2330,2560,Female
F4_F5,Fam.13,2.5,2.41,2500,2410,Female
F4_F5,Fam.14,2.53,2.46,2530,2460,Female
F4_F5,Fam.16,2.59,2.49,2590,2490,Female
F4_F5,Fam.17,2.52,2.5,2520,2500,Female
F4_F5,Fam.18,2.54,2.55,2540,2550,Female
F4_F5,Fam.19,2.61,2.4,2610,2400,Female
F4_F5,Fam.20,2.43,2.54,2430,2540,Female
F4_F5,Fam.21,2.48,2.55,2480,2550,Female
F4_F5,Fam.22,2.55,2.42,2550,2420,Female
F4_F5,Fam.23,2.51,2.47,2510,2470,Female
F4_F5,Fam.24,2.29,2.45,2290,2450,Female
F4_F5,Fam.27,2.61,2.57,2610,2570,Female
F4_F5,Fam.31,2.44,2.48,2440,2480,Female
F4_F5,Fam.32,2.71,2.87,2710,2870,Female
F4_F5,Fam.33,2.64,2.63,2640,2630,Female
F4_F5,Fam.34,2.48,2.4,2480,2400,Female
F4_F5,Fam.35,2.45,2.55,2450,2550,Female
F4_F5,Fam.38,2.48,2.5,2480,2500,Female
F4_F5,Fam.39,2.42,2.4,2420,2400,Female
F4_F5,Fam.40,2.69,2.61,2690,2610,Female
F4_F5,Fam.42,2.49,2.57,2490,2570,Female
F4_F5,Fam.43,2.61,2.58,2610,2580,Female
F4_F5,Fam.44,2.3,2.23,2300,2230,Female
F4_F5,Fam.45,2.62,2.43,2620,2430,Female
F5_F6,Fam.1,2.6,2.5,2600,2500,Female
F5_F6,Fam.4,2.43,2.42,2430,2420,Female
F5_F6,Fam.5,2.5,2.44,2500,2440,Female
F5_F6,Fam.6,2.67,2.66,2670,2660,Female
F5_F6,Fam.7,2.49,2.49,2490,2490,Female
F5_F6,Fam.8,2.48,2.4,2480,2400,Female
F5_F6,Fam.9,2.68,2.53,2680,2530,Female
F5_F6,Fam.11,2.52,2.57,2520,2570,Female
F5_F6,Fam.12,2.56,2.53,2560,2530,Female
F5_F6,Fam.13,2.41,2.34,2410,2340,Female
F5_F6,Fam.14,2.46,2.51,2460,2510,Female
F5_F6,Fam.16,2.49,2.49,2490,2490,Female
F5_F6,Fam.17,2.5,2.29,2500,2290,Female
F5_F6,Fam.18,2.55,2.59,2550,2590,Female
F5_F6,Fam.19,2.4,2.49,2400,2490,Female
F5_F6,Fam.20,2.54,2.7,2540,2700,Female
F5_F6,Fam.21,2.55,2.48,2550,2480,Female
