Sex,Family,ID,Elytra_mm,Elytra
Male,29,Inb.3,2.338,2338
Male,31,Inb.3,2.326,2326
Male,32,Inb.3,2.458,2458
Male,33,Inb.3,2.145,2145
Male,34,Inb.3,2.3,2300
Male,35,Inb.3,2.366,2366
Male,36,Inb.3,2.415,2415
Male,37,Inb.3,2.303,2303
Male,38,Inb.3,2.413,2413
Male,39,Inb.3,2.244,2244
Male,40,Inb.3,2.409,2409
Male,41,Inb.3,2.395,2395
Male,42,Inb.3,2.537,2537
Male,43,Inb.3,2.441,2441
Male,44,Inb.3,2.222,2222
Male,45,Inb.3,2.361,2361
Male,1,Inb.4,2.375,2375
Male,2,Inb.4,2.299,2299
Male,3,Inb.4,2.366,2366
Male,4,Inb.4,2.371,2371
Male,5,Inb.4,2.285,2285
Male,6,Inb.4,2.416,2416
Male,7,Inb.4,2.362,2362
Male,8,Inb.4,2.338,2338
Male,9,Inb.4,2.462,2462
Male,10,Inb.4,2.379,2379
Male,11,Inb.4,2.494,2494
Male,12,Inb.4,2.397,2397
Male,13,Inb.4,2.344,2344
Male,14,Inb.4,2.39,2390
Male,15,Inb.4,2.369,2369
Male,16,Inb.4,2.275,2275
Male,17,Inb.4,2.477,2477
Male,18,Inb.4,2.411,2411
Male,19,Inb.4,2.537,2537
Male,20,Inb.4,2.395,2395
Male,21,Inb.4,2.367,2367
Male,22,Inb.4,2.299,2299
Male,23,Inb.4,2.345,2345
Male,24,Inb.4,2.203,2203
Male,26,Inb.4,2.46,2460
Male,27,Inb.4,2.509,2509
Male,29,Inb.4,2.363,2363
Male,31,Inb.4,2.433,2433
Male,32,Inb.4,2.521,2521
Male,33,Inb.4,2.35,2350
Male,34,Inb.4,2.253,2253
Male,35,Inb.4,2.359,2359
Male,36,Inb.4,2.465,2465
Male,37,Inb.4,2.59,2590
Male,38,Inb.4,2.315,2315
Male,39,Inb.4,2.269,2269
Male,40,Inb.4,2.402,2402
Male,41,Inb.4,2.36,2360
Male,42,Inb.4,2.388,2388
Male,43,Inb.4,2.404,2404
Male,44,Inb.4,2.41,2410
Male,45,Inb.4,2.417,2417
Male,1,Inb.5,2.341,2341
Male,2,Inb.5,2.309,2309
Male,5,Inb.5,2.403,2403
Male,6,Inb.5,2.527,2527
Male,7,Inb.5,2.366,2366
Male,8,Inb.5,2.409,2409
Male,9,Inb.5,2.487,2487
Male,10,Inb.5,2.391,2391
Male,11,Inb.5,2.332,2332
Male,12,Inb.5,2.344,2344
Male,13,Inb.5,2.352,2352
Male,14,Inb.5,2.464,2464
Male,16,Inb.5,2.32,2320
Male,17,Inb.5,2.401,2401
Male,18,Inb.5,2.415,2415
Male,19,Inb.5,2.407,2407
Male,20,Inb.5,2.358,2358
Male,21,Inb.5,2.369,2369
Male,22,Inb.5,2.412,2412
Male,23,Inb.5,2.31,2310
Male,24,Inb.5,2.221,2221
Male,27,Inb.5,2.458,2458
Male,31,Inb.5,2.404,2404
Male,32,Inb.5,2.635,2635
Male,33,Inb.5,2.439,2439
Male,34,Inb.5,2.188,2188
Male,35,Inb.5,2.195,2195
Male,37,Inb.5,2.608,2608
Male,38,Inb.5,2.272,2272
Male,39,Inb.5,2.275,2275
Male,40,Inb.5,2.537,2537
Male,42,Inb.5,2.496,2496
Male,43,Inb.5,2.451,2451
Male,44,Inb.5,2.356,2356
Male,45,Inb.5,2.448,2448
Male,1,Inb.6,2.306,2306
Male,2,Inb.6,2.353,2353
Male,5,Inb.6,2.312,2312
Male,6,Inb.6,2.573,2573
Male,7,Inb.6,2.386,2386
Male,8,Inb.6,2.389,2389
Male,9,Inb.6,2.381,2381
Male,11,Inb.6,2.347,2347
Male,12,Inb.6,2.252,2252
Male,13,Inb.6,2.23,2230
Male,14,Inb.6,2.399,2399
Male,16,Inb.6,2.407,2407
Male,17,Inb.6,2.303,2303
Male,18,Inb.6,2.469,2469
Male,19,Inb.6,2.489,2489
Male,20,Inb.6,2.441,2441
Male,21,Inb.6,2.254,2254
Male,22,Inb.6,2.355,2355
Male,23,Inb.6,2.36,2360
Male,24,Inb.6,2.304,2304
Male,27,Inb.6,2.461,2461
Male,31,Inb.6,2.278,2278
Male,32,Inb.6,2.427,2427
Male,33,Inb.6,2.392,2392
Male,34,Inb.6,2.235,2235
Male,35,Inb.6,2.342,2342
Male,38,Inb.6,2.36,2360
Male,39,Inb.6,2.336,2336
Male,40,Inb.6,2.566,2566
Male,42,Inb.6,2.406,2406
Male,43,Inb.6,2.513,2513
Male,44,Inb.6,2.311,2311
Male,45,Inb.6,2.285,2285
Female,1b,G0,2.56,2560
Female,2a,G0,2.49,2490
Female,3b,G0,2.54,2540
Female,4b,G0,2.43,2430
Female,5b,G0,2.53,2530
Female,6b,G0,2.61,2610
Female,7b,G0,2.58,2580
Female,8b,G0,2.48,2480
Female,9b,G0,2.56,2560
Female,10b,G0,2.67,2670
Female,11b,G0,2.59,2590
Female,12b,G0,2.45,2450
Female,13b,G0,2.52,2520
Female,14b,G0,2.55,2550
Female,15b,G0,2.45,2450
Female,16b,G0,2.56,2560
Female,17b,G0,2.7,2700
Female,18b,G0,2.54,2540
Female,19b,G0,2.56,2560
