Corr_Gen,Fam.ID,SL1,SL2
F5_F6,Fam.12,78,78
F5_F6,Fam.13,78,75
F5_F6,Fam.14,77,77
F5_F6,Fam.16,84,82
F5_F6,Fam.17,78,75
F5_F6,Fam.18,84,80
F5_F6,Fam.19,79,72
F5_F6,Fam.20,82,82
F5_F6,Fam.21,79,78
F5_F6,Fam.22,79,78
F5_F6,Fam.23,81,74
F5_F6,Fam.24,77,75
F5_F6,Fam.27,82,76
F5_F6,Fam.31,83,79
F5_F6,Fam.32,78,79
F5_F6,Fam.33,85,83
F5_F6,Fam.34,78,75
F5_F6,Fam.35,78,73
F5_F6,Fam.38,82,74
F5_F6,Fam.39,85,82
F5_F6,Fam.40,74,75
F5_F6,Fam.42,82,79
F5_F6,Fam.43,78,74
F5_F6,Fam.44,78,78
F5_F6,Fam.45,81,81
